*********************************************************************************************
Basic information of the design:
Design name: aes_cipher_top
UNITS DISTANCE MICRONS : 2000 (We use DBU to store the layout information)
Die width: 499700 DBU
Die height: 501200 DBU
Core width: 459800 DBU
Core height: 459200 DBU
Core region:  lx = 20140, ly = 22400, ux = 479940, uy = 481600
*********************************************************************************************
Input/Output Pin information (Each line represents one fixed pin: vertex_id, IO_name, IO_type, x_center, y_center):
0 clk INPUT 499630 113260
1 done OUTPUT 238830 501130
2 key[0] INPUT 278350 501130
3 key[100] INPUT 289750 501130
4 key[101] INPUT 275310 501130
5 key[102] INPUT 273030 501130
6 key[103] INPUT 288230 501130
7 key[104] INPUT 249470 501130
8 key[105] INPUT 247190 501130
9 key[106] INPUT 268470 501130
10 key[107] INPUT 250230 70
11 key[108] INPUT 260110 501130
12 key[109] INPUT 222110 70
13 key[10] INPUT 70 252700
14 key[110] INPUT 240350 501130
15 key[111] INPUT 244910 70
16 key[112] INPUT 70 233100
17 key[113] INPUT 222870 70
18 key[114] INPUT 260870 70
19 key[115] INPUT 243390 70
20 key[116] INPUT 226670 70
21 key[117] INPUT 217550 70
22 key[118] INPUT 70 219100
23 key[119] INPUT 242630 70
24 key[11] INPUT 70 238140
25 key[120] INPUT 286710 70
26 key[121] INPUT 499630 151340
27 key[122] INPUT 270750 70
28 key[123] INPUT 307230 70
29 key[124] INPUT 285190 70
30 key[125] INPUT 279110 70
31 key[126] INPUT 278350 70
32 key[127] INPUT 287470 70
33 key[12] INPUT 70 244300
34 key[13] INPUT 70 241500
35 key[14] INPUT 220590 70
36 key[15] INPUT 70 249900
37 key[16] INPUT 209950 70
38 key[17] INPUT 203110 70
39 key[18] INPUT 212990 70
40 key[19] INPUT 198550 70
41 key[1] INPUT 282150 501130
42 key[20] INPUT 193230 70
43 key[21] INPUT 184870 70
44 key[22] INPUT 201590 70
45 key[23] INPUT 189430 70
46 key[24] INPUT 70 289100
47 key[25] INPUT 70 282380
48 key[26] INPUT 70 255500
49 key[27] INPUT 70 259420
50 key[28] INPUT 70 287420
51 key[29] INPUT 70 277340
52 key[2] INPUT 263150 501130
53 key[30] INPUT 70 252140
54 key[31] INPUT 70 274540
55 key[32] INPUT 499630 291900
56 key[33] INPUT 298110 501130
57 key[34] INPUT 274550 501130
58 key[35] INPUT 287470 501130
59 key[36] INPUT 292790 501130
60 key[37] INPUT 499630 258300
61 key[38] INPUT 267710 501130
62 key[39] INPUT 499630 279020
63 key[3] INPUT 279110 501130
64 key[40] INPUT 253270 70
65 key[41] INPUT 236550 70
66 key[42] INPUT 260870 501130
67 key[43] INPUT 238070 70
68 key[44] INPUT 249470 70
69 key[45] INPUT 225150 70
70 key[46] INPUT 221350 70
71 key[47] INPUT 227430 70
72 key[48] INPUT 216790 70
73 key[49] INPUT 225910 70
74 key[4] INPUT 284430 501130
75 key[50] INPUT 499630 214620
76 key[51] INPUT 499630 210140
77 key[52] INPUT 232750 70
78 key[53] INPUT 219070 70
79 key[54] INPUT 205390 70
80 key[55] INPUT 499630 202300
81 key[56] INPUT 499630 284060
82 key[57] INPUT 499630 275660
83 key[58] INPUT 499630 228620
84 key[59] INPUT 499630 223580
85 key[5] INPUT 263910 501130
86 key[60] INPUT 499630 252140
87 key[61] INPUT 499630 243180
88 key[62] INPUT 499630 234220
89 key[63] INPUT 499630 250460
90 key[64] INPUT 294310 501130
91 key[65] INPUT 307230 501130
92 key[66] INPUT 272270 501130
93 key[67] INPUT 292030 501130
94 key[68] INPUT 291270 501130
95 key[69] INPUT 499630 263900
96 key[6] INPUT 264670 501130
97 key[70] INPUT 273790 501130
98 key[71] INPUT 499630 277340
99 key[72] INPUT 248710 501130
100 key[73] INPUT 241110 70
101 key[74] INPUT 257070 501130
102 key[75] INPUT 240350 70
103 key[76] INPUT 252510 501130
104 key[77] INPUT 70 244860
105 key[78] INPUT 70 258300
106 key[79] INPUT 230470 70
107 key[7] INPUT 499630 277900
108 key[80] INPUT 70 231980
109 key[81] INPUT 231230 70
110 key[82] INPUT 499630 220220
111 key[83] INPUT 499630 216860
112 key[84] INPUT 229710 70
113 key[85] INPUT 223630 70
114 key[86] INPUT 70 225260
115 key[87] INPUT 499630 209020
116 key[88] INPUT 499630 289660
117 key[89] INPUT 499630 280140
118 key[8] INPUT 214510 70
119 key[90] INPUT 499630 229180
120 key[91] INPUT 499630 224700
121 key[92] INPUT 499630 251580
122 key[93] INPUT 499630 245420
123 key[94] INPUT 499630 240380
124 key[95] INPUT 499630 248220
125 key[96] INPUT 283670 501130
126 key[97] INPUT 301910 501130
127 key[98] INPUT 266950 501130
128 key[99] INPUT 282910 501130
129 key[9] INPUT 70 247660
130 ld INPUT 153710 70
131 rst INPUT 223630 501130
132 text_in[0] INPUT 70 267260
133 text_in[100] INPUT 499630 298620
134 text_in[101] INPUT 269990 501130
135 text_in[102] INPUT 499630 256620
136 text_in[103] INPUT 499630 240940
137 text_in[104] INPUT 251750 70
138 text_in[105] INPUT 257070 70
139 text_in[106] INPUT 271510 501130
140 text_in[107] INPUT 248710 70
141 text_in[108] INPUT 262390 70
142 text_in[109] INPUT 239590 70
143 text_in[10] INPUT 70 254380
144 text_in[110] INPUT 244150 70
145 text_in[111] INPUT 260110 70
146 text_in[112] INPUT 224390 70
147 text_in[113] INPUT 247190 70
148 text_in[114] INPUT 255550 70
149 text_in[115] INPUT 235030 70
150 text_in[116] INPUT 237310 70
151 text_in[117] INPUT 215270 70
152 text_in[118] INPUT 228950 70
153 text_in[119] INPUT 254030 70
154 text_in[11] INPUT 70 265580
155 text_in[120] INPUT 282910 70
156 text_in[121] INPUT 499630 146860
157 text_in[122] INPUT 276830 70
158 text_in[123] INPUT 293550 70
159 text_in[124] INPUT 292030 70
160 text_in[125] INPUT 283670 70
161 text_in[126] INPUT 269990 70
162 text_in[127] INPUT 284430 70
163 text_in[12] INPUT 70 260540
164 text_in[13] INPUT 70 277900
165 text_in[14] INPUT 70 279020
166 text_in[15] INPUT 70 272300
167 text_in[16] INPUT 70 193900
168 text_in[17] INPUT 70 175420
169 text_in[18] INPUT 70 175980
170 text_in[19] INPUT 70 209020
171 text_in[1] INPUT 70 265020
172 text_in[20] INPUT 70 216300
173 text_in[21] INPUT 70 179900
174 text_in[22] INPUT 70 237020
175 text_in[23] INPUT 70 229740
176 text_in[24] INPUT 70 336140
177 text_in[25] INPUT 70 329420
178 text_in[26] INPUT 70 286300
179 text_in[27] INPUT 70 293020
180 text_in[28] INPUT 70 293580
181 text_in[29] INPUT 70 300300
182 text_in[2] INPUT 70 259980
183 text_in[30] INPUT 70 308140
184 text_in[31] INPUT 70 320460
185 text_in[32] INPUT 499630 246540
186 text_in[33] INPUT 499630 235900
187 text_in[34] INPUT 279870 501130
188 text_in[35] INPUT 499630 299180
189 text_in[36] INPUT 499630 285180
190 text_in[37] INPUT 499630 239820
191 text_in[38] INPUT 270750 501130
192 text_in[39] INPUT 499630 253820
193 text_in[3] INPUT 70 266700
194 text_in[40] INPUT 499630 186060
195 text_in[41] INPUT 499630 209580
196 text_in[42] INPUT 499630 201180
197 text_in[43] INPUT 499630 182700
198 text_in[44] INPUT 499630 181020
199 text_in[45] INPUT 279870 70
200 text_in[46] INPUT 499630 160300
201 text_in[47] INPUT 499630 160860
202 text_in[48] INPUT 499630 222460
203 text_in[49] INPUT 499630 215180
204 text_in[4] INPUT 70 269500
205 text_in[50] INPUT 499630 216300
206 text_in[51] INPUT 499630 180460
207 text_in[52] INPUT 499630 179900
208 text_in[53] INPUT 499630 178220
209 text_in[54] INPUT 499630 162540
210 text_in[55] INPUT 499630 196700
211 text_in[56] INPUT 499630 187180
212 text_in[57] INPUT 499630 201740
213 text_in[58] INPUT 499630 188300
214 text_in[59] INPUT 499630 178780
215 text_in[5] INPUT 70 280140
216 text_in[60] INPUT 499630 173180
217 text_in[61] INPUT 499630 166460
218 text_in[62] INPUT 499630 163660
219 text_in[63] INPUT 499630 165900
220 text_in[64] INPUT 499630 307580
