*********************************************************************************************
Basic information of the design:
Design name: ibex_core
UNITS DISTANCE MICRONS : 1000 (We use DBU to store the layout information)
Die width: 79538 DBU
Die height: 79538 DBU
Core width: 75438 DBU
Core height: 75330 DBU
Core region:  lx = 2052, ly = 2160, ux = 77490, uy = 77490
*********************************************************************************************
Input/Output Pin information (Each line represents one fixed pin: vertex_id, IO_name, IO_type, x_center, y_center):
0 alert_major_o OUTPUT 23340 42
1 alert_minor_o OUTPUT 23052 42
2 boot_addr_i[0] INPUT 780 42
3 boot_addr_i[10] INPUT 59628 42
4 boot_addr_i[11] INPUT 56652 42
5 boot_addr_i[12] INPUT 57612 42
6 boot_addr_i[13] INPUT 58668 42
7 boot_addr_i[14] INPUT 59340 42
8 boot_addr_i[15] INPUT 53580 42
9 boot_addr_i[16] INPUT 62604 42
10 boot_addr_i[17] INPUT 58476 42
11 boot_addr_i[18] INPUT 61836 42
12 boot_addr_i[19] INPUT 61452 42
13 boot_addr_i[1] INPUT 876 42
14 boot_addr_i[20] INPUT 61164 42
15 boot_addr_i[21] INPUT 62220 42
16 boot_addr_i[22] INPUT 65196 42
17 boot_addr_i[23] INPUT 61932 42
18 boot_addr_i[24] INPUT 65004 42
19 boot_addr_i[25] INPUT 63756 42
20 boot_addr_i[26] INPUT 59052 42
21 boot_addr_i[27] INPUT 58764 42
22 boot_addr_i[28] INPUT 58860 42
23 boot_addr_i[29] INPUT 58956 42
24 boot_addr_i[2] INPUT 972 42
25 boot_addr_i[30] INPUT 64812 42
26 boot_addr_i[31] INPUT 53676 42
27 boot_addr_i[3] INPUT 1068 42
28 boot_addr_i[4] INPUT 1164 42
29 boot_addr_i[5] INPUT 1260 42
30 boot_addr_i[6] INPUT 1356 42
31 boot_addr_i[7] INPUT 1452 42
32 boot_addr_i[8] INPUT 61068 42
33 boot_addr_i[9] INPUT 59148 42
34 clk_i INPUT 42 73356
35 core_sleep_o OUTPUT 41580 42
36 data_addr_o[0] OUTPUT 23244 42
37 data_addr_o[10] OUTPUT 51468 42
38 data_addr_o[11] OUTPUT 50508 42
39 data_addr_o[12] OUTPUT 52524 42
40 data_addr_o[13] OUTPUT 45228 79496
41 data_addr_o[14] OUTPUT 51756 42
42 data_addr_o[15] OUTPUT 53388 42
43 data_addr_o[16] OUTPUT 53196 42
44 data_addr_o[17] OUTPUT 45708 79496
45 data_addr_o[18] OUTPUT 51276 42
46 data_addr_o[19] OUTPUT 79496 53676
47 data_addr_o[1] OUTPUT 23148 42
48 data_addr_o[20] OUTPUT 79496 48396
49 data_addr_o[21] OUTPUT 43404 42
50 data_addr_o[22] OUTPUT 42732 79496
51 data_addr_o[23] OUTPUT 50604 42
52 data_addr_o[24] OUTPUT 52716 42
53 data_addr_o[25] OUTPUT 79496 53292
54 data_addr_o[26] OUTPUT 43212 42
55 data_addr_o[27] OUTPUT 43020 42
56 data_addr_o[28] OUTPUT 43116 42
57 data_addr_o[29] OUTPUT 42924 42
58 data_addr_o[2] OUTPUT 79496 29100
59 data_addr_o[30] OUTPUT 43308 79496
60 data_addr_o[31] OUTPUT 51084 42
61 data_addr_o[3] OUTPUT 79496 27948
62 data_addr_o[4] OUTPUT 51372 42
63 data_addr_o[5] OUTPUT 45996 42
64 data_addr_o[6] OUTPUT 79496 26316
65 data_addr_o[7] OUTPUT 50988 42
66 data_addr_o[8] OUTPUT 79496 51276
67 data_addr_o[9] OUTPUT 46092 79496
68 data_be_o[0] OUTPUT 39948 42
69 data_be_o[1] OUTPUT 39660 79496
70 data_be_o[2] OUTPUT 42 39276
71 data_be_o[3] OUTPUT 39564 79496
72 data_err_i INPUT 42 36012
73 data_gnt_i INPUT 42 37356
74 data_rdata_i[0] INPUT 79496 40908
75 data_rdata_i[10] INPUT 37164 79496
76 data_rdata_i[11] INPUT 37356 79496
77 data_rdata_i[12] INPUT 36012 79496
78 data_rdata_i[13] INPUT 36108 79496
79 data_rdata_i[14] INPUT 36204 79496
80 data_rdata_i[15] INPUT 36396 79496
81 data_rdata_i[16] INPUT 36588 79496
82 data_rdata_i[17] INPUT 36684 79496
83 data_rdata_i[18] INPUT 37068 79496
84 data_rdata_i[19] INPUT 36876 79496
85 data_rdata_i[1] INPUT 79496 43500
86 data_rdata_i[20] INPUT 39948 79496
